FromCurrency,ToCurrency,Date,ExchangeRate
BegoniaDollar,BegoniaDollar,2022/10/1,1
BegoniaDollar,BegoniaDollar,2022/10/2,1
BegoniaDollar,BegoniaDollar,2022/10/3,1
BegoniaDollar,BegoniaDollar,2022/10/4,1
BegoniaDollar,BegoniaDollar,2022/10/5,1
BegoniaDollar,BegoniaDollar,2022/10/6,1
BegoniaDollar,BegoniaDollar,2022/10/7,1
BegoniaDollar,BegoniaDollar,2022/10/8,1
BegoniaDollar,BegoniaDollar,2022/10/9,1
BegoniaDollar,BegoniaDollar,2022/10/10,1
BegoniaDollar,BegoniaDollar,2022/10/11,1
BegoniaDollar,BegoniaDollar,2022/10/12,1
BegoniaDollar,BegoniaDollar,2022/10/13,1
BegoniaDollar,BegoniaDollar,2022/10/14,1
BegoniaDollar,BegoniaDollar,2022/10/15,1
BegoniaDollar,BegoniaDollar,2022/10/16,1
BegoniaDollar,BegoniaDollar,2022/10/17,1
BegoniaDollar,BegoniaDollar,2022/10/18,1
BegoniaDollar,BegoniaDollar,2022/10/19,1
BegoniaDollar,BegoniaDollar,2022/10/20,1
BegoniaDollar,BegoniaDollar,2022/10/21,1
BegoniaDollar,BegoniaDollar,2022/10/22,1
BegoniaDollar,BegoniaDollar,2022/10/23,1
BegoniaDollar,BegoniaDollar,2022/10/24,1
BegoniaDollar,BegoniaDollar,2022/10/25,1
BegoniaDollar,BegoniaDollar,2022/10/26,1
BegoniaDollar,BegoniaDollar,2022/10/27,1
BegoniaDollar,BegoniaDollar,2022/10/28,1
BegoniaDollar,BegoniaDollar,2022/10/29,1
BegoniaDollar,BegoniaDollar,2022/10/30,1
BegoniaDollar,BegoniaDollar,2022/10/31,1
BegoniaDollar,BegoniaDollar,2022/11/1,1
BegoniaDollar,BegoniaDollar,2022/11/2,1
BegoniaDollar,BegoniaDollar,2022/11/3,1
BegoniaDollar,BegoniaDollar,2022/11/4,1
BegoniaDollar,BegoniaDollar,2022/11/5,1
BegoniaDollar,BegoniaDollar,2022/11/6,1
BegoniaDollar,BegoniaDollar,2022/11/7,1
BegoniaDollar,BegoniaDollar,2022/11/8,1
BegoniaDollar,BegoniaDollar,2022/11/9,1
BegoniaDollar,BegoniaDollar,2022/11/10,1
BegoniaDollar,BegoniaDollar,2022/11/11,1
BegoniaDollar,BegoniaDollar,2022/11/12,1
BegoniaDollar,BegoniaDollar,2022/11/13,1
BegoniaDollar,BegoniaDollar,2022/11/14,1
BegoniaDollar,BegoniaDollar,2022/11/15,1
BegoniaDollar,BegoniaDollar,2022/11/16,1
BegoniaDollar,BegoniaDollar,2022/11/17,1
BegoniaDollar,BegoniaDollar,2022/11/18,1
BegoniaDollar,BegoniaDollar,2022/11/19,1
BegoniaDollar,BegoniaDollar,2022/11/20,1
BegoniaDollar,BegoniaDollar,2022/11/21,1
BegoniaDollar,BegoniaDollar,2022/11/22,1
BegoniaDollar,BegoniaDollar,2022/11/23,1
BegoniaDollar,BegoniaDollar,2022/11/24,1
BegoniaDollar,BegoniaDollar,2022/11/25,1
BegoniaDollar,BegoniaDollar,2022/11/26,1
BegoniaDollar,BegoniaDollar,2022/11/27,1
